Beta(2,2)
N =10 	 missing=0.0967 
N =60 	 missing=0.0570 
N =110 	 missing=0.0537 
N =160 	 missing=0.0496 
N =210 	 missing=0.0540 
N =260 	 missing=0.0525 
N =310 	 missing=0.0489 
N =360 	 missing=0.0533 
N =410 	 missing=0.0510 
N =460 	 missing=0.0496 
N =510 	 missing=0.0514 
N =560 	 missing=0.0521 
N =610 	 missing=0.0511 
N =660 	 missing=0.0506 
N =710 	 missing=0.0528 
N =760 	 missing=0.0490 
N =810 	 missing=0.0472 
N =860 	 missing=0.0512 
N =910 	 missing=0.0533 
N =960 	 missing=0.0451 
N =1010 	 missing=0.0567 
Beta(20000,1)
N =10 	 missing=0.1455 
N =60 	 missing=0.0683 
N =110 	 missing=0.0609 
N =160 	 missing=0.0617 
N =210 	 missing=0.0561 
N =260 	 missing=0.0557 
N =310 	 missing=0.0524 
N =360 	 missing=0.0593 
N =410 	 missing=0.0500 
N =460 	 missing=0.0526 
N =510 	 missing=0.0533 
N =560 	 missing=0.0493 
N =610 	 missing=0.0479 
N =660 	 missing=0.0532 
N =710 	 missing=0.0493 
N =760 	 missing=0.0513 
N =810 	 missing=0.0521 
N =860 	 missing=0.0527 
N =910 	 missing=0.0498 
N =960 	 missing=0.0501 
N =1010 	 missing=0.0537 
Beta(1, 20000)
N =10 	 missing=0.1420 
N =60 	 missing=0.0707 
N =110 	 missing=0.0611 
N =160 	 missing=0.0587 
N =210 	 missing=0.0543 
N =260 	 missing=0.0534 
N =310 	 missing=0.0584 
N =360 	 missing=0.0563 
N =410 	 missing=0.0521 
N =460 	 missing=0.0520 
N =510 	 missing=0.0514 
N =560 	 missing=0.0546 
N =610 	 missing=0.0540 
N =660 	 missing=0.0550 
N =710 	 missing=0.0523 
N =760 	 missing=0.0533 
N =810 	 missing=0.0527 
N =860 	 missing=0.0509 
N =910 	 missing=0.0522 
N =960 	 missing=0.0542 
N =1010 	 missing=0.0506 
Bern(0.99999)
N =10 	 missing=0.9999 
N =60 	 missing=0.9991 
N =110 	 missing=0.9993 
N =160 	 missing=0.9985 
N =210 	 missing=0.9975 
N =260 	 missing=0.9975 
N =310 	 missing=0.9972 
N =360 	 missing=0.9967 
N =410 	 missing=0.9963 
N =460 	 missing=0.9950 
N =510 	 missing=0.9940 
N =560 	 missing=0.9948 
N =610 	 missing=0.9935 
N =660 	 missing=0.9937 
N =710 	 missing=0.9923 
N =760 	 missing=0.9920 
N =810 	 missing=0.9919 
N =860 	 missing=0.9920 
N =910 	 missing=0.9906 
N =960 	 missing=0.9902 
N =1010 	 missing=0.9910 
Bern(0.00001)
N =10 	 missing=0.9999 
N =60 	 missing=0.9993 
N =110 	 missing=0.9992 
N =160 	 missing=0.9984 
N =210 	 missing=0.9980 
N =260 	 missing=0.9976 
N =310 	 missing=0.9972 
N =360 	 missing=0.9967 
N =410 	 missing=0.9959 
N =460 	 missing=0.9960 
N =510 	 missing=0.9956 
N =560 	 missing=0.9950 
N =610 	 missing=0.9931 
N =660 	 missing=0.9930 
N =710 	 missing=0.9942 
N =760 	 missing=0.9907 
N =810 	 missing=0.9913 
N =860 	 missing=0.9912 
N =910 	 missing=0.9912 
N =960 	 missing=0.9894 
N =1010 	 missing=0.9923 
U(0, 0.001)
N =10 	 missing=0.0935 
N =60 	 missing=0.0569 
N =110 	 missing=0.0524 
N =160 	 missing=0.0514 
N =210 	 missing=0.0518 
N =260 	 missing=0.0510 
N =310 	 missing=0.0510 
N =360 	 missing=0.0526 
N =410 	 missing=0.0492 
N =460 	 missing=0.0474 
N =510 	 missing=0.0513 
N =560 	 missing=0.0496 
N =610 	 missing=0.0513 
N =660 	 missing=0.0521 
N =710 	 missing=0.0475 
N =760 	 missing=0.0501 
N =810 	 missing=0.0486 
N =860 	 missing=0.0487 
N =910 	 missing=0.0476 
N =960 	 missing=0.0521 
N =1010 	 missing=0.0502 
U(0.999, 1)
N =10 	 missing=0.0947 
N =60 	 missing=0.0543 
N =110 	 missing=0.0543 
N =160 	 missing=0.0532 
N =210 	 missing=0.0537 
N =260 	 missing=0.0544 
N =310 	 missing=0.0559 
N =360 	 missing=0.0492 
N =410 	 missing=0.0470 
N =460 	 missing=0.0480 
N =510 	 missing=0.0488 
N =560 	 missing=0.0520 
N =610 	 missing=0.0487 
N =660 	 missing=0.0478 
N =710 	 missing=0.0510 
N =760 	 missing=0.0535 
N =810 	 missing=0.0512 
N =860 	 missing=0.0447 
N =910 	 missing=0.0537 
N =960 	 missing=0.0463 
N =1010 	 missing=0.0495 
