Beta(2,2)
N =10 	 missing=0.0972 
N =60 	 missing=0.0997 
N =110 	 missing=0.1010 
N =160 	 missing=0.1011 
N =210 	 missing=0.1020 
N =260 	 missing=0.1020 
N =310 	 missing=0.1013 
N =360 	 missing=0.1007 
N =410 	 missing=0.1031 
N =460 	 missing=0.1001 
N =510 	 missing=0.1003 
N =560 	 missing=0.0997 
N =610 	 missing=0.0999 
N =660 	 missing=0.0994 
N =710 	 missing=0.1004 
N =760 	 missing=0.1028 
N =810 	 missing=0.0955 
N =860 	 missing=0.1007 
N =910 	 missing=0.1022 
N =960 	 missing=0.0947 
N =1010 	 missing=0.0983 
Beta(20000,1)
N =10 	 missing=0.1003 
N =60 	 missing=0.0957 
N =110 	 missing=0.1024 
N =160 	 missing=0.0958 
N =210 	 missing=0.1024 
N =260 	 missing=0.0996 
N =310 	 missing=0.1022 
N =360 	 missing=0.0978 
N =410 	 missing=0.0966 
N =460 	 missing=0.1016 
N =510 	 missing=0.0961 
N =560 	 missing=0.0958 
N =610 	 missing=0.0994 
N =660 	 missing=0.1000 
N =710 	 missing=0.0980 
N =760 	 missing=0.0954 
N =810 	 missing=0.1018 
N =860 	 missing=0.1007 
N =910 	 missing=0.0970 
N =960 	 missing=0.1009 
N =1010 	 missing=0.0965 
Beta(1, 20000)
N =10 	 missing=0.0994 
N =60 	 missing=0.0984 
N =110 	 missing=0.1000 
N =160 	 missing=0.1013 
N =210 	 missing=0.1046 
N =260 	 missing=0.1012 
N =310 	 missing=0.1009 
N =360 	 missing=0.0970 
N =410 	 missing=0.0992 
N =460 	 missing=0.1007 
N =510 	 missing=0.0957 
N =560 	 missing=0.0992 
N =610 	 missing=0.0971 
N =660 	 missing=0.0972 
N =710 	 missing=0.0949 
N =760 	 missing=0.1017 
N =810 	 missing=0.0960 
N =860 	 missing=0.0991 
N =910 	 missing=0.0993 
N =960 	 missing=0.0955 
N =1010 	 missing=0.0964 
Bern(0.99999)
N =10 	 missing=0.0961 
N =60 	 missing=0.1008 
N =110 	 missing=0.0978 
N =160 	 missing=0.0966 
N =210 	 missing=0.0980 
N =260 	 missing=0.0973 
N =310 	 missing=0.1010 
N =360 	 missing=0.1003 
N =410 	 missing=0.0998 
N =460 	 missing=0.1003 
N =510 	 missing=0.1051 
N =560 	 missing=0.0957 
N =610 	 missing=0.0985 
N =660 	 missing=0.0961 
N =710 	 missing=0.1012 
N =760 	 missing=0.1033 
N =810 	 missing=0.1019 
N =860 	 missing=0.1007 
N =910 	 missing=0.1018 
N =960 	 missing=0.1002 
N =1010 	 missing=0.1021 
Bern(0.00001)
N =10 	 missing=0.0974 
N =60 	 missing=0.1023 
N =110 	 missing=0.1013 
N =160 	 missing=0.1017 
N =210 	 missing=0.1022 
N =260 	 missing=0.1066 
N =310 	 missing=0.0977 
N =360 	 missing=0.0956 
N =410 	 missing=0.0967 
N =460 	 missing=0.0974 
N =510 	 missing=0.1023 
N =560 	 missing=0.1045 
N =610 	 missing=0.0984 
N =660 	 missing=0.1021 
N =710 	 missing=0.0997 
N =760 	 missing=0.1086 
N =810 	 missing=0.1005 
N =860 	 missing=0.1043 
N =910 	 missing=0.1041 
N =960 	 missing=0.0932 
N =1010 	 missing=0.0992 
U(0, 0.001)
N =10 	 missing=0.0994 
N =60 	 missing=0.1044 
N =110 	 missing=0.1017 
N =160 	 missing=0.0948 
N =210 	 missing=0.1041 
N =260 	 missing=0.0972 
N =310 	 missing=0.1022 
N =360 	 missing=0.1055 
N =410 	 missing=0.0981 
N =460 	 missing=0.0983 
N =510 	 missing=0.1035 
N =560 	 missing=0.1037 
N =610 	 missing=0.0985 
N =660 	 missing=0.1029 
N =710 	 missing=0.0996 
N =760 	 missing=0.1026 
N =810 	 missing=0.1078 
N =860 	 missing=0.1043 
N =910 	 missing=0.0979 
N =960 	 missing=0.0988 
N =1010 	 missing=0.1057 
U(0.999, 1)
N =10 	 missing=0.1014 
N =60 	 missing=0.1010 
N =110 	 missing=0.0984 
N =160 	 missing=0.0985 
N =210 	 missing=0.0993 
N =260 	 missing=0.1005 
N =310 	 missing=0.0987 
N =360 	 missing=0.0915 
N =410 	 missing=0.0997 
N =460 	 missing=0.0998 
N =510 	 missing=0.0944 
N =560 	 missing=0.1007 
N =610 	 missing=0.0972 
N =660 	 missing=0.1004 
N =710 	 missing=0.0999 
N =760 	 missing=0.1020 
N =810 	 missing=0.0967 
N =860 	 missing=0.1024 
N =910 	 missing=0.1008 
N =960 	 missing=0.1062 
N =1010 	 missing=0.1007 
