Beta(2,2)
N =10 	 missing=0.0394 
N =60 	 missing=0.0119 
N =110 	 missing=0.0113 
N =160 	 missing=0.0112 
N =210 	 missing=0.0100 
N =260 	 missing=0.0121 
N =310 	 missing=0.0104 
N =360 	 missing=0.0099 
N =410 	 missing=0.0102 
N =460 	 missing=0.0108 
N =510 	 missing=0.0093 
N =560 	 missing=0.0111 
N =610 	 missing=0.0114 
N =660 	 missing=0.0112 
N =710 	 missing=0.0088 
N =760 	 missing=0.0108 
N =810 	 missing=0.0093 
N =860 	 missing=0.0104 
N =910 	 missing=0.0102 
N =960 	 missing=0.0106 
N =1010 	 missing=0.0110 
Beta(20000,1)
N =10 	 missing=0.0808 
N =60 	 missing=0.0245 
N =110 	 missing=0.0166 
N =160 	 missing=0.0169 
N =210 	 missing=0.0132 
N =260 	 missing=0.0143 
N =310 	 missing=0.0112 
N =360 	 missing=0.0136 
N =410 	 missing=0.0135 
N =460 	 missing=0.0124 
N =510 	 missing=0.0119 
N =560 	 missing=0.0101 
N =610 	 missing=0.0121 
N =660 	 missing=0.0108 
N =710 	 missing=0.0125 
N =760 	 missing=0.0106 
N =810 	 missing=0.0117 
N =860 	 missing=0.0106 
N =910 	 missing=0.0129 
N =960 	 missing=0.0116 
N =1010 	 missing=0.0120 
Beta(1, 20000)
N =10 	 missing=0.0872 
N =60 	 missing=0.0230 
N =110 	 missing=0.0171 
N =160 	 missing=0.0149 
N =210 	 missing=0.0135 
N =260 	 missing=0.0152 
N =310 	 missing=0.0127 
N =360 	 missing=0.0111 
N =410 	 missing=0.0119 
N =460 	 missing=0.0119 
N =510 	 missing=0.0133 
N =560 	 missing=0.0110 
N =610 	 missing=0.0125 
N =660 	 missing=0.0121 
N =710 	 missing=0.0118 
N =760 	 missing=0.0093 
N =810 	 missing=0.0111 
N =860 	 missing=0.0124 
N =910 	 missing=0.0113 
N =960 	 missing=0.0112 
N =1010 	 missing=0.0094 
Bern(0.99999)
N =10 	 missing=0.9997 
N =60 	 missing=0.9998 
N =110 	 missing=0.9985 
N =160 	 missing=0.9980 
N =210 	 missing=0.9981 
N =260 	 missing=0.9970 
N =310 	 missing=0.9962 
N =360 	 missing=0.9963 
N =410 	 missing=0.9961 
N =460 	 missing=0.9960 
N =510 	 missing=0.9940 
N =560 	 missing=0.9945 
N =610 	 missing=0.9928 
N =660 	 missing=0.9921 
N =710 	 missing=0.9920 
N =760 	 missing=0.9929 
N =810 	 missing=0.9919 
N =860 	 missing=0.9915 
N =910 	 missing=0.9907 
N =960 	 missing=0.9900 
N =1010 	 missing=0.9903 
Bern(0.00001)
N =10 	 missing=0.9999 
N =60 	 missing=0.9996 
N =110 	 missing=0.9982 
N =160 	 missing=0.9973 
N =210 	 missing=0.9978 
N =260 	 missing=0.9974 
N =310 	 missing=0.9967 
N =360 	 missing=0.9962 
N =410 	 missing=0.9967 
N =460 	 missing=0.9952 
N =510 	 missing=0.9942 
N =560 	 missing=0.9941 
N =610 	 missing=0.9947 
N =660 	 missing=0.9943 
N =710 	 missing=0.9936 
N =760 	 missing=0.9940 
N =810 	 missing=0.9917 
N =860 	 missing=0.9916 
N =910 	 missing=0.9904 
N =960 	 missing=0.9901 
N =1010 	 missing=0.9905 
U(0, 0.001)
N =10 	 missing=0.0425 
N =60 	 missing=0.0138 
N =110 	 missing=0.0115 
N =160 	 missing=0.0126 
N =210 	 missing=0.0101 
N =260 	 missing=0.0106 
N =310 	 missing=0.0122 
N =360 	 missing=0.0088 
N =410 	 missing=0.0113 
N =460 	 missing=0.0098 
N =510 	 missing=0.0094 
N =560 	 missing=0.0107 
N =610 	 missing=0.0118 
N =660 	 missing=0.0098 
N =710 	 missing=0.0118 
N =760 	 missing=0.0099 
N =810 	 missing=0.0101 
N =860 	 missing=0.0094 
N =910 	 missing=0.0120 
N =960 	 missing=0.0102 
N =1010 	 missing=0.0112 
U(0.999, 1)
N =10 	 missing=0.0433 
N =60 	 missing=0.0135 
N =110 	 missing=0.0140 
N =160 	 missing=0.0111 
N =210 	 missing=0.0095 
N =260 	 missing=0.0120 
N =310 	 missing=0.0110 
N =360 	 missing=0.0092 
N =410 	 missing=0.0113 
N =460 	 missing=0.0105 
N =510 	 missing=0.0097 
N =560 	 missing=0.0115 
N =610 	 missing=0.0106 
N =660 	 missing=0.0101 
N =710 	 missing=0.0101 
N =760 	 missing=0.0115 
N =810 	 missing=0.0096 
N =860 	 missing=0.0101 
N =910 	 missing=0.0093 
N =960 	 missing=0.0101 
N =1010 	 missing=0.0103 
