Beta(2,2)
N =10 	 missing=0.0015 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0000 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
Beta(20000,1)
N =10 	 missing=0.0109 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0000 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
Beta(1, 20000)
N =10 	 missing=0.0108 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0000 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
Bern(0.99999)
N =10 	 missing=0.9998 
N =60 	 missing=0.9996 
N =110 	 missing=0.9982 
N =160 	 missing=0.9984 
N =210 	 missing=0.9979 
N =260 	 missing=0.9967 
N =310 	 missing=0.9959 
N =360 	 missing=0.9954 
N =410 	 missing=0.9965 
N =460 	 missing=0.9970 
N =510 	 missing=0.9951 
N =560 	 missing=0.9930 
N =610 	 missing=0.9937 
N =660 	 missing=0.9926 
N =710 	 missing=0.9918 
N =760 	 missing=0.9925 
N =810 	 missing=0.9923 
N =860 	 missing=0.9920 
N =910 	 missing=0.9907 
N =960 	 missing=0.9899 
N =1010 	 missing=0.9903 
Bern(0.00001)
N =10 	 missing=0.9997 
N =60 	 missing=0.9996 
N =110 	 missing=0.9987 
N =160 	 missing=0.9987 
N =210 	 missing=0.9977 
N =260 	 missing=0.9969 
N =310 	 missing=0.9976 
N =360 	 missing=0.9956 
N =410 	 missing=0.9951 
N =460 	 missing=0.9953 
N =510 	 missing=0.9958 
N =560 	 missing=0.9944 
N =610 	 missing=0.9938 
N =660 	 missing=0.9931 
N =710 	 missing=0.9929 
N =760 	 missing=0.9929 
N =810 	 missing=0.9933 
N =860 	 missing=0.9909 
N =910 	 missing=0.9932 
N =960 	 missing=0.9892 
N =1010 	 missing=0.9905 
U(0, 0.001)
N =10 	 missing=0.0021 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0000 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
U(0.999, 1)
N =10 	 missing=0.0014 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0000 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
